content,cleaned_text
"saya ganti hp dg operating system yg lebih baru dari hp lama saya tapi pas verifikasi wajah kok selalu di tolak ya, tp pas verifikasi wajah d hp lama saya selalu berhasil",ganti hp dg operating system hp pas verifikasi wajah tolak tp pas verifikasi wajah hp hasil
verifikasi wajah gagal mulu,verifikasi wajah gagal mulu
ini giman sih keluar Mulu dari apknya Uda dimasukin id sama pasword gak dapet otp.,gim sih mulu apknya uda dimasukin id pasword dapet otp
kenapa si sering loading saya beli paket m3 saldo udah kepotong tapi gak masuk2 kuota data nyaa hiisss harus bolak balik k3 my m3 sama ke bank BCA kenappaaaa lahhh dan ternyata harus nunggu 5hari kerja .semoga aja bner masih tak tunggu 5hri kedepan. kalau bner aku ganti ulasannya😭😭😭,si loading beli paket saldo potong masuk kuota data nyaa hiisss bolak bank bca kenappaaaa lahhh nunggu kerja moga bner tunggu hri depan bner ganti ulas
diupdate jadi lemot padahal sinyal bagus,diupdate sinyal bagus
mantapsssssssss,mantapsssssssss
"aplikasi payah, login susah.",aplikasi payah login susah
"verifikasi log in, menbagongkan.. nyusahin males pake BCA lagi",verifikasi log in menbagongkan nyusahin males pake bca
b aja,
aplikasi nya makin ke sini makin berat dan lemot parah,aplikasi berat parah
Kenapa saldo saya tiba tiba hilang sendiri? saya cek di mutasi tidak ada pemberitahuan apapun,saldo hilang cek mutasi tidak pemberitahuan apa
"aplikasi rusak, menyesal buat. bagusan BRImo Dan Livin dari pada ini",aplikasi rusak sesal bagus brimo livin
sudah bisa.,
force close terus....,force close
kenapa tidak bisa masuk dengan jaringan wifi di rumah??? biasanya bisa kenapa sekarang tidak bisa..,tidak masuk jaring wifi rumah tidak
"busuk isi saldo 2 kali malah ga sampe"" dan gada konfirmasi nya",busuk isi saldo kali sampe gada konfirmasi
"makin buruk, kalo di buka lama, mau payment juga suka lama, suka ga bisa masuk, suka keluar sendiri, payah",buruk kalo buka payment suka suka masuk suka payah
kenapa dan kenapa tidak bisa masuk. sudah telp cs lewat halo bca buat buka blokir. masuk my bca verifikasi wajah tidak bisa . kenapa harua call cs lagi. dan harus nunggu jam 06.00 . genting urusannya kalau malam mah,tidak masuk telp cs halo bca buka blokir masuk bca verifikasi wajah tidak harua call cs nunggu jam genting urus malam mah
"SUSAH BUKA APLIKASI, LOADING TERLALU LAMA KALAU MAU LOGIN. GAK BAGUS BANGET MBAKING BCA SAMA MY BCA JELEK SEMUA . NYUSAHIN MALAH, MULU MALUIN",susah buka aplikasi loading login bagus mbaking bca bca jelek nyusahin mulu maluin
halo slmt mlm kak sejak update gmail jarang msk lelet sm apl ny lelet jg gmn ini trmksh,halo slmt mlm kak update gmail jarang msk lelet sm apl ny lelet jg gmn trmksh
sering banget hrs update² pdhl sama aja gitu sangat ganggu kalo mau bayar,hrs update pdhl gitu ganggu kalo bayar
"astaghfirullahaladzim ribetnya bgt verif beli pulsa dulu eror Mulu udah vc cs masih aja gabisa akun punyaku sendiri verif wajah salah terus kesel bgt lama"" dah",astaghfirullahaladzim ribetnya bgt verif beli pulsa eror mulu vc cs gabisa akun punya verif wajah salah kesel bgt dah
"Ujung"" nya suruh datang ke kantor cabang terdekat,,ya namanya bukan online😁😇",ujung suruh kantor cabang dekat nama bukan online
sukaaaa,sukaaaa
sangat membantu dan memudahkan,bantu mudah
"saya ngisi bca dari e wallet,di transaksi nya berhasil cuman duit nya ilang,ternyta my bca apk rampok 🥲",ngisi bca wallet transaksi hasil cuman duit ilang ternyta bca apk rampok
dari tanggal 22 mei sampe sekarang saya dapet tranferan dri ayah saya tidak masuk masuk katanya di suruh tunggu gmna tah ini....,tanggal mei sampe dapet tranferan dri ayah tidak masuk masuk suruh tunggu gmna tah
"kenapa setiap mau masuk verifikasi wajah, verifikasi nya selalu gagal yah kak? padahal itu udah tahap akhir utk masuk di apknya tapi selalu gagal, katanya verifikasi tidak dapat dilanjutkan, saya juga udah ikutin panduan verifikasi nya 😭 pas di apk lain pake verifikasi nya bisa , tapi pass di mybca gak bisa",masuk verifikasi wajah verifikasi gagal yah kak tahap utk masuk apknya gagal verifikasi tidak lanjut ikutin pandu verifikasi pas apk pake verifikasi pass mybca
dalam beberapa waktu proses reksadana autodebet tidak dapat di nonaktifkan dan proses pencairan yg looping saat persetujuan mohon segera diperbaiki. terima kasih.,proses reksadana autodebet tidak nonaktif proses cair looping tuju mohon baik terima kasih
pelayanan bagus,layan bagus
"bca bego , kcp nya di daerah2 bukan di jabodetabek ibu kota, cs dan kepala cabang nya idiot semua, ga ada solusi jg ga sopan",bca bego kcp daerah bukan jabodetabek kota cs kepala cabang idiot solusi jg sopan
mantap,mantap
beberapa hari ini gak bisa dipakai. loading lama parah. !!!,pakai loading parah
knp punya saya keblokir uang saya ada di BCA lagi,knp blokir uang bca
mantap,mantap
"aplikasinya nge bug kayanya, mau login malah ga ada kode negara +62, jdi ga bisa login dh, kalo udh bisa lagi saya naikin bintang 5",aplikasi nge bug kaya login kode negara jdi login dh kalo udh naikin bintang
verifikasi KTP dan wajah gagal terus,verifikasi ktp wajah gagal
sering sekali tidak berhasil untuk log in,tidak hasil log in
sangat bagus sekali,bagus
bagus dan simple,bagus simple
aplikasi tidak bisa dibuka,aplikasi tidak buka
saldo saya terpotong 50rb tanpa ada mutasi,saldo potong rb mutasi
"opsi login fingerprint selalu error saat mau login, biasanya lancar kenapa ya?",opsi login fingerprint error login lancar
"GK ADA NEGARA INDONESIANYA YG NOMOR Edit : gk ad opsi buat lanjut ke tahap selanjutnya, gk bisa di ""back"" juga, gw dipaksa isi nomor hp.. ini kan gw baru login setelah gk prnah gw buka ni rekening.. ini gw bingung",negara indonesia nomor edit ad opsi tahap back gw paksa isi nomor hp gw login prnah gw buka ni rekening gw bingung
"entah kenapa bbrp hari ini ga bisa login biometrik... padahal semua fitur oke. pakai fingerprint. pas ulang daftar juga oke, tapi pas mau dipakai login keluar error 😔",bbrp login biometrik fitur oke pakai fingerprint pas ulang daftar oke pas pakai login error
kode negara Indonesia nya mana ini enggak bisa masuk klo enggak ada kode negara,kode negara indonesia masuk klo kode negara
bapak/ ibu saya sudah buat akun bank tapi belum di bikin kartunya lalu hp saya yang dulu di pakai untuk daftar bank rusak apakah bisa di bkin kartu nya ? terimakasih,akun bank belum bikin kartu hp pakai daftar bank rusak bkin kartu terimakasih
Bank BCA mantap luar biasa,bank bca mantap
males update mulu,males update mulu
saran gua jangan pernah pakek rekening BCA soalnya riwayat transaksi enggak jls masak Iyya duit gua tiba tiba habis dan enggak ada bukti pengeluarannya lagi intinya gua nyesel pakek rekening BCA,saran gua jangan pakek rekening bca riwayat transaksi jls masak iyya duit gua habis bukti keluar inti gua nyesel pakek rekening bca
mantap,mantap
saya pake my BCA tapi selalu tiba2 kepotong 15 ribu atau 10 ribu . padahal setiap bulanya udh kepotong .. tapi setiap menyimpan saldo tetep pasti kepotong ...,pake bca potong ribu ribu bulanya udh potong simpan saldo tetep potong
"Buset dah ini aplikasi lemot nya ampun dah, gak usah bikin berat-berat ini aplikasi, gak usah kebanyakan iklan di dalem nya, gak penting banget, Mobile Banking udah kaya KORAN BERJALAN...",buset dah aplikasi ampun dah bikin berat berat aplikasi banyak iklan dalem mobile banking kaya koran jalan
transkasi nya gak jelas di mutasi masuk 56.500 tetapi di saldo cuman 23.000 sisanya k mn tidka tercatat di mutasi tidak transparan,transkasi mutasi masuk saldo cuman sisa mn tidka catat mutasi tidak transparan
"saat masuk aplikasi mybca ga bisa masukan no.tlp, kode negara ga keluar pdhl sdh ga pake angka 0, pas centang ga bisa kirim.. aplikasi bc kok receh gini 👎👎👎",masuk aplikasi mybca masuk no tlp kode negara pdhl sdh pake angka pas centang kirim aplikasi bc receh gin
"may bca parah kacau verifikasi sangat buruk sudah mangap"" akhir nya gagal ga rekomen",may bca parah kacau verifikasi buruk mangap gagal rekomen
sering error,error
"mau bikin kartu BCA Sudah saya TF 50K k nomor rekening Malah saldo udah kepotong tp GK masuk di nomor rekening baru saya, trus mau bayar gimana? kok aneh sih.",bikin kartu bca tf nomor rekening saldo potong tp masuk nomor rekening trus bayar gimana aneh sih
jangan d download saya selalu ada saldo mengendap tanpa alasan yang jelas 50k d potong berkali kali bca pun tidak memperbolehkan transaksi kapan saldo itu bisa terpakai jadi jangan d download merugikan rakyat kecil bayangkan 1 org yang kena berujung puluhan d potong 50k untung merekanya kalau 1x tidak apa2 wajar ini berkali kali,jangan download saldo endap alas potong kali kali bca tidak boleh transaksi saldo pakai jangan download rugi rakyat bayang org kena ujung puluh potong untung mereka tidak wajar kali kali
terimakasih pelayanan yang sangat memuaskan,terimakasih layan muas
"bagus, cuma kepotong admin nya agak gede ya 15 ribu",bagus potong admin gede ribu
setelah update mlh gak bisa digunakan muncul ulangi beberapa saat lagi sdh seminggu video call juga gak bisa terus coba layanan bca ktnya sdg maintenance kok lma bgt maintenance nya,update mlh muncul ulang sdh minggu video call coba layan bca ktnya sdg maintenance lma bgt maintenance
masa transaksi saya di pending,transaksi pending
"saya sudah membuat akun tetepi tetap terus disuruh membuat akun ketika ingin login, tolong diperbaiki lagi sistemnya",akun tetepi suruh akun login tolong baik sistem
"Sesusah itu bikin rekening, Untuk pelajar mahasiswa 18 tahun memang tidak bisa ya, Hmm tak apa apa lah, Celengan juga udah berarti menemani",susah bikin rekening ajar mahasiswa tidak hmm celengan tani
bagus,bagus
gak bisa qris scan,qris scan
SALDO BERKURANG KENA POTONGAN ADMIN MULU PADAHAL BLOM LAMA ADA POTONGAN ADMIN.EMANH SEBULAN BERAPA X MOTONG SI,saldo kurang kena potong admin mulu blom potong admin emanh bulan motong si
"masukkan kode negara.. indonesia gak ada, nge bug aplikasi lu",masuk kode negara indonesia nge bug aplikasi lu
lebih keren,keren
🤖 aplikasi PV tidak beres 🤖,aplikasi pv tidak beres
mantap,mantap
kenapa sering saldo tiba-tiba hilang udah 3 kali lumayan 10rb terus ga ada notifnya tau kemana kesel aja. tolong dong bca jangan begitu terlalu gede ngambil untungnya,saldo hilang kali lumayan rb notifnya tau mana kesel tolong bca jangan gede ngambil untung
aneh kemaren tanggal 20 dipotong skrng knp tanggal 2 yg kepotong sumpah parah ini GK nyaman pke BCA.,aneh kemaren tanggal potong skrng knp tanggal potong sumpah parah nyaman pke bca
pelayanan nya baik,layan
mudah dan gampang,mudah gampang
wemoga wukses,wemoga wukses
ok josss,ok josss
"sering bangett mau login tiba² lama bngt loadingnya, pdahal jaringan stabil ga ada kendala apa² buat buka platform yg lain, tapi buat login lama bangett, trus udah bisa masuk mau transaksi lama poolll sampe transaksi gagal karna klamaan loading, tolong lah diatasi, overall oke, dapat notifikasi transaksi juga mantab, cuma itu masalah nya loading nya bikin stress bikin gaenak juga kalo lagi antri",bangett login tiba bngt loadingnya pdahal jaring stabil kendala apa buka platform login bangett trus masuk transaksi poolll sampe transaksi gagal karna klamaan loading tolong atas overall oke notifikasi transaksi mantab loading bikin stress bikin gaenak kalo antri
"sangat rumit untuk digunakan, untuk masuk aja susah, udah berulang kali daftar mbanking tetap tidak bisa, kendala di bagian, memasukkan no identitas, sangat rumit",rumit masuk susah ulang kali daftar mbanking tidak kendala masuk no identitas rumit
lemot bat buset,bat buset
setiap buka my BCA selalu harus diperbaharui terus dn loading nya lemot,buka bca baharu dn loading
udah ngisi data lengkap tapi di tolak Mulu padahal udah jadi nasabah BCA udah 15thn data kaga ada yg berubah.,ngisi data lengkap tolak mulu nasabah bca thn data kaga ubah
"aplikasi terlalu berat, lemot dan lelet",aplikasi berat lelet
"buset makin stress sma mybca, makin lemot mau setoran juga susah hamir tiap hari kaya gini",buset stress sma mybca setor susah hamir kaya gin
terlalu ribet untuk registrasi... dua sering closing dan reply prosedur...udh terdfre..login lagi dfte lagi terus bgtu. mengecewakan,ribet registrasi closing reply prosedur udh terdfre login dfte bgtu kecewa
"gw heran dg fitur pembiayaan di BCA ini ok benar di ceklist BI Gw C1 tp tergolong Masih lancar tp kenapa ngajuin paylater mulai awal th 2023 sampai sekarang kalau di hitung potongan biaya admin tiap bulan 25rb di kali udah 1jt lebih 😄😄😄 masa kasi limit 500k aja pelit amet tu BCA mentang"" bank besar jadi nya g kayak bank lain macam sea bank bank saqu super bank yg berbasis bank gol 3 tp mereka percaya sama nasabah gw aja di sea bank ada limit 20jt lebih di bank saqu ada 14jt di super bank ada",gw heran dg fitur biaya bca ok ceklist bi gw tp golong lancar tp ngajuin paylater th hitung potong biaya admin rb kali jt kasi limit pelit amet tu bca mentang bank kayak bank sea bank bank saqu super bank bas bank gol tp percaya nasabah gw sea bank limit jt bank saqu jt super bank
"baru tanggal 1 Juni 2026 sudah potong admin, kemarin 16/17 mei udh dipotong..... mantapppp",tanggal juni potong admin kemarin mei udh potong mantapppp
sehabis ada pembaharuan gak bisa login,habis baharu login
gagah,gagah
"kenapa tiba² ke logout ya? aneh loh , sumpah masa masuk lagi minta otp ulang ga sekali 2x loh begini kepotong pulsa melulu",tiba logout aneh loh sumpah masuk otp ulang loh potong pulsa melulu
"maaf di bulan mei sya sudah kepotong admin di tanggal 19 itu sebesar 17.000 dan 5.000,, akan tetapi di awal juni tgl 1 ini kenapa dipotong lagi saldo saya sebesar 17.000, mohon direspond dan dijelaskan, saya sbagai pengguna BCA dr tahun 2014 sangat kecewa.",maaf mei sya potong admin tanggal juni tgl potong saldo mohon direspond sbagai guna bca dr kecewa
sangat baik,
Sekarang dipake buat transaksi lemot,dipake transaksi
gagal untuk login verifakasi gagal,gagal login verifakasi gagal
lemot banget kenapa ini,
"sistem harus ada pulsa hapus lah woy. gue pake bc buat terima gaji doang, jd suka gua apus kalau full memory. ini tiap mau login harus dpt verifikasi kode dr sms tp HARUS PUNYA PULSA. miskin banget sih. beda sama bank2 lain. sebel gue",sistem pulsa hapus woy gue pake bc terima gaji doang jd suka gua apus full memory login dpt verifikasi kode dr sms tp pulsa miskin sih beda bank sebel gue
saya kasi bintang 4 aja.karna saya baru mencoba,kasi bintang karna coba
saat saya sudh mendaftarkan akun dngn bnr tapi knpa akun saya tdk bisa bisa,sudh daftar akun dngn bnr knpa akun tdk
semoga bisa d gunakan tidak ribet untuk penggunax,moga tidak ribet penggunax
"kode negara indonesia hilang ,mau login apl jd ga bisa makin susah pake my bca",kode negara indonesia hilang login apl jd susah pake bca
ini kenapa forclose mulu ketika verifikasi wajah -_,forclose mulu verifikasi wajah
"gabakal download lagi, karena baru pertama kali isi saldo ga masuk mutasi",gabakal download kali isi saldo masuk mutasi
"Kenapa ya menggunakan wifi loading, menggunakan data seluler lancar...",wifi loading data seluler lancar
"apk nya sangat mantap dan kece banget,hanya saja terasa berat buat login dan buat qris,,selebihnya saya sangat puas dg apk my BCA.",apk mantap kece berat login qris lebih puas dg apk bca
Saya udah update yg terbaru tapi masih gak bisa juga... Error mulu,update baru error mulu
ok,ok
"aku mau masuk, diminta nomer HP, cari kode negara Indonesia kog gaada, gimana mau masuk ini",masuk nomer hp cari kode negara indonesia kog gaada gimana masuk
terlalu banyak update!,update
kenapa di bulan mei ini gabisa Qris ya?,mei gabisa qris
Saya Bingung kenapa Apk setelah Di Abdret malah Masukin No HP ga Ada Kode negara Indonesia.,bingung apk abdret masukin no hp kode negara indonesia
masa gua transaksi gagal terus gmn si uda punya gua ke block,gua transaksi gagal gmn si uda gua block
"akun gmail sayA lupa sandi, bca id saya juga lupa kenapa kirim bca id ke alamat email",akun gmail lupa sandi bca id lupa kirim bca id alamat email
saat melakukan penggantian sandi saya tidak bisa melanjutkan verfikasi akun saga,ganti sandi tidak lanjut verfikasi akun saga
sumpah kesel banget pake biometrik sidik jari gk mau kebaca parah banget gimna mau log in 😭😭😭,sumpah kesel pake biometrik sidik jari baca parah gimna log in
"haduh mau verif nomor malah terjadi kesalahan mulu, padahal udah bener nomornya",haduh verif nomor salah mulu bener nomor
kenapa error lagi error lagi admin ke blokir lagi ini akun saya udah berapa kali ini saya ganti pw udah malas rasa nya ribet nih apk bca nya buruk 👎,error error admin blokir akun kali ganti pw malas ribet nih apk bca buruk
"setelah install kembali ke info aplikasi, ketika mau dibuka kembali ke info aplikasi, apa maksudnya ya ? apakah karena harga saham anjlok terus ?",install info aplikasi buka info aplikasi maksud harga saham anjlok
kode otp tidak masuk,kode otp tidak masuk
harus nyaa my bca di perbarui lagii bir cpat gak lemoot,nyaa bca baru lagi bir cpat lemoot
aplikasi goblog gabisa masuk verifikasi wajah,aplikasi goblog gabisa masuk verifikasi wajah
mantap semua sudah bagus,mantap bagus
"saya tidak bisa login ulang, sdh beberapa kali mencoba buat login",tidak login ulang sdh kali coba login
good,good
"Min tolong diperbaiki aplikasi nya dong masak masuk harus update terus kalau gak update masak gak bisa login ke aplikasi pliss lahh,capek banget harus update trs mana makan ruang banyak 😒",min tolong baik aplikasi masak masuk update update masak login aplikasi pliss lahh capek update trs makan ruang
"Kode negara +62 mana cok , apa harus pilih negara konoha baru bisa login.",kode negara cok pilih negara konoha login
"Metode verifikasi perangkat baru yang gk jelas, sudah input ID BCA dan PW dengan benar juga sudah verifikasi OTP, tapi masih perlu verifikasi wajah lagu dan selalu gagal, sudah telpon halo BCA katanya data wajah saya tidak terecord dan diarahkan untuk verifikasi datang langsung ke kantor cabang, sedangkan sekarang sedang libur panjang dan butuh transaksi urgent, repot, kapok pake BCA padahal saya suka fiturnya yang cardless",metode verifikasi perangkat input id bca pw verifikasi otp verifikasi wajah lagu gagal telpon halo bca data wajah tidak terecord arah verifikasi langsung kantor cabang libur butuh transaksi urgent repot kapok pake bca suka fiturnya cardless
"UDAH KESEKIAN KALINYA G BISA DI BUKA, GA DI UPDATE GA BISA DI BUKA DIUPDATE JUGA GA BISA DI BUKA HERAN",sekian kali buka update buka diupdate buka heran
sampel dan mudah dipahami,sampel mudah paham
"myBCA agak susah dibuka sekarang ni, padahal jaringan bagus. Terpaksa pake mobile BCA lebih cepat.",mybca susah buka ni jaring bagus paksa pake mobile bca cepat
ok,ok
saya ganti device ke tablet advan sketsa karena device lama mati kena kuah soto. kenapa tiap mau verifikasi wajah selalu force close jadi g bisa buka sama sekali aplikasinya,ganti device tablet advan sketsa device mati kena kuah soto verifikasi wajah force close buka aplikasi
"gembel susah banget login, tiba2 logout mau login lgi masukan unser id, udh masukin id minta otp, otp pun harus pake pulsa, sedangkan pulsa nol, mau isi pulsa saldo di rek semua haduh, gembel gembel",gembel susah login logout login lgi masuk unser id udh masukin id otp otp pake pulsa pulsa nol isi pulsa saldo rek haduh gembel gembel
mengapa klu buka aplikasi mybca kok sulit,klu buka aplikasi mybca sulit
oke👍,oke
"selalu ada notif ""ops something went wrong"" mulu...jd ny harus masukin bca id terus..tolong lah diperbaiki wahai bca",notif ops something went wrong mulu jd ny masukin bca id tolong baik bca
pengiriman kartu debit lama... ga ada resi nya pula ga bisa tracking.. cuma pemberitahuan lewat sms doang sedang dikirim ga tau di mana .. primitif bnget pake sms,kirim kartu debit resi tracking pemberitahuan sms doang kirim tau primitif bnget pake sms
kenpa tidak bisa di install di hp Saya...,kenpa tidak install hp
aplikasinya hari ini tgl 30 mei 2026 jam 19.00 ngebug kah?? Kok gak bisa masuk ke aplikasi?,aplikasi tgl mei jam ngebug kah masuk aplikasi
"eror terus , pasword aplikasi padahal udah bener tapi pas di masukin salah sampai terblokir dan harus minta bantuan buat buka blokir , pas udah di ganti dan selang beberapa jam saya masuk dengan pasword yg baru dan benar malah salah lagi ,sampai pulsa kebuang sia² buat kode otp saking sering nya kejadian kyk gitu haduh",eror pasword aplikasi bener pas masukin salah blokir bantu buka blokir pas ganti selang jam masuk pasword salah pulsa buang sia kode otp saking jadi kyk gitu haduh
sangat mudah,mudah
sering terjadi kendala error,kendala error
"ribet, verifikasi wajah gagal terus",ribet verifikasi wajah gagal
"kenapa verifikasi wajah tifak bisa di lanjutkan,dan gagal terus kenapa sudah di tempat terang pakai paket data dan pulsa ada .tapi ke email ada notif pindah tapi tetep ga bisa verifikasi di wajah ribet sekali",verifikasi wajah tifak lanjut gagal terang pakai paket data pulsa email notif pindah tetep verifikasi wajah ribet
"error bagian otp nya, padahal udah bener ngasih nomor hp nya, udah di ulang beberapa kali tetap gak muncul, dan waktu nyoba minta otp lagi tulisannya error, dan setengah jam padahal",error otp bener ngasih nomor hp ulang kali muncul nyoba otp tulis error jam
Mantap,mantap
tiap bulan pasti minta update tapi kyknya sama saja menu nya,update kyknya menu
saya user my bca lama tpi setelah saya ganti HP mlah gk bisa log in gagal verivikasi wajah,user bca tpi ganti hp mlah log in gagal verivikasi wajah
sangat membantu,bantu
akun saya selalu terblokir 1 bulan sekali tanpa tau penyebabnya,akun blokir tau sebab
"bolak balik update, mana sering lag waktu mw bayar Qris.",bolak update lag mw bayar qris
enak punya aplikasi mobile banking BCA mudah dan cepat sebagai alat transaksi serta tarik uang,enak aplikasi mobile banking bca mudah cepat alat transaksi tarik uang
"tidak ada notifikasi samasekali, mutasi gak muncul",tidak notifikasi samasekali mutasi muncul
apk nya susah di buka,apk susah buka
"mau masuk tpi ada peringatan suruh update giliran udah di update malah bca id nya keblokir mau masuk ga bisa karna keblokir gimana solusinya? tolong dong ga usah dikit"" suruh update biar ga kejadian kaya gini",masuk tpi ingat suruh update gilir update bca id blokir masuk karna blokir gimana solusi tolong dikit suruh update biar jadi kaya gin
Alhamdulillah sangat baik .,alhamdulillah
"parah lemot dah update malh lemot login juga lama, padahl memori hp bsar.",parah dah update malh login padahl memori hp bsar
cukup baik,
"nanti,dilain waktu",lain
"aneh pas update dahhh, masa gak bis akebuka dahh harus pake wifi terus saya bingung asli bingung",aneh pas update dahhh bis akebuka dahh pake wifi bingung asli bingung
verifikasi di persulit padahal pas foto dah terang,verifikasi sulit pas foto dah terang
verifikasi wajah gagal terus padahal sudah mengikuti instruksi,verifikasi wajah gagal ikut instruksi
"ini kenapa yah sya mau masukin no gak ada untuk negara indonesia nya jdi susah buat dapet verifikasinya ,",yah sya masukin no negara indonesia jdi susah dapet verifikasi
verifikasi wajahnya terlalu sulit.,verifikasi wajah sulit
"sering lemot & error, pdahl koneksi internet lancar buat lainnya.",error pdahl koneksi internet lancar
sangat membatu,batu
bagus dan lebih mudah tanpa keluar nyari ATM lagi,bagus mudah nyari atm
bagus,bagus
ini kenapa tolong update baru tp ini muter terus gak selsai selsai ngeinstalnya,tolong update tp muter selsai selsai ngeinstalnya
verifikasi gagal sangat susah dimengerti,verifikasi gagal susah erti
"ribet lupa sandi doang udh telpon costumer servis banyak tanya ujung nya harus ke kantor jga ,ngabisin waktu kirain bisa kpn aja ke kantor",ribet lupa sandi doang udh telpon costumer servis ujung kantor jga ngabisin kirain kpn kantor
plis aku gbsa tranfer maupun nerima transfer aku gbsa,plis gbsa tranfer nerima transfer gbsa
saya mau masukan kode Negara Indonesia di kolom pengisian no HP. tp Nama dan Kode Negara Indonesia tidak ada,masuk kode negara indonesia kolom isi no hp tp nama kode negara indonesia tidak
payah,payah
good,good
wey ini gmn gua tf ke dana saldo udh berkurang tapi gaada masuk duit nya ke dana kocak,wey gmn gua tf dana saldo udh kurang gaada masuk duit dana kocak
akhir2 ini tbtb sering terblokir sendiri padahal sedang tidak di gunakan. sangat meresahkan,tbtb blokir tidak resah
"verifikasi wajah gagal terus, emang muka saya berubah apa gimana oplas kagak jenggotan kagak, gak pake aksesoris gak pake kacamata, pencahayaan udah terang, tetep ajah gagal. ribet lu lama lama 👎",verifikasi wajah gagal emang muka ubah gimana oplas kagak jenggot kagak pake aksesoris pake kacamata cahaya terang tetep ajah gagal ribet lu
"error, wasting my time walaupun sudah dikantor cabang",error wasting time kantor cabang
"Apk nya bagus, namun sayang cabang bca di padang Pariaman, ataupun di loebangau gak ada. aku pindah dari serang ke padang Pariaman, dan disini gak ada kantor cabang nya satu pun. Mohon Untuk pihak bca mungkin bisa memperluas lagi cabang kantornya hingga kepelosok dan kabupaten. Sisa nya bca bagus, cuma kurang luas jangkauan kantor cabang nya aja",apk bagus sayang cabang bca padang pariaman loebangau pindah serang padang pariaman kantor cabang mohon bca luas cabang kantor pelosok kabupaten sisa bca bagus kurang luas jangkau kantor cabang
tolong untuk mybca jangan kebanyakan di upgrade . yang mengakibatkan memori penuh terus. dan semakin lemot pas dibuka .,tolong mybca jangan banyak upgrade akibat memori penuh pas buka
sudah males transaksi via bca playlater kartu kredit tidak di acc semua mending bri BNI lngsung dpt limit,males transaksi via bca playlater kartu kredit tidak acc mending bri bni lngsung dpt limit
"APLIKASI RUSAKK, KEBANYAKAN BUG DAN RIBET",aplikasi rusakk banyak bug ribet
"bikin rekening lama banget, saya nunggu 3 jam buat video call doang",bikin rekening nunggu jam video call doang
tolong di perjelas aplikasi nya mau pilih negara Indonesia GK ad pas mau masukan no harus nya +62 tapi ini gak ad opsinya aneh gak tuh . saya GK bisa login ke aplikasi,tolong jelas aplikasi pilih negara indonesia ad pas masuk no ad opsi aneh tuh login aplikasi
TIDAK BISA LOGIN MENGGUNAKAN NOMOR HP KARNA TIDAK ADA KODE NEGARA INDONESIA,tidak login nomor hp karna tidak kode negara indonesia
susah banget verifikasi wajah gagal terus ribet,susah verifikasi wajah gagal ribet
"Bikin rekening ribet banget harus VC segala, pas mau vc gabisa-bisa krn katanya customer service lagi melayani nasabah lain, heyy customer service kalian cuma sebiji? Lagian kenapa sih harus vc segala, kan dr awal sudah scan ktp dan wajah, kenapa harus pake vc vc segala",bikin rekening ribet vc pas vc gabisa krn customer service layan nasabah heyy customer service biji sih vc dr scan ktp wajah pake vc vc
sangat membantu,bantu
"aplikasi minusan , buka rekening harus vdcal , itupun ga bisa ,pelayanan sangat buruk",aplikasi minus buka rekening vdcal itu layan buruk
mantap,mantap
sangat baik,
sangat membantu bertransaksi,bantu transaksi
sangat puas,puas
bagusds,bagusds
Terlalu sering update tapi engga bikin lebih baik,update engga bikin
"Sebelum di update aplikasi lancar.. tapi setelah di update gila lemooootttttt parah.. mau buka aplikasi aja loading lama.. isi token lama, saldo udah kepotong tapi nomor token ga keluar2.. tolong di perbaiki",update aplikasi lancar update gila lemooootttttt parah buka aplikasi loading isi token saldo potong nomor token tolong baik
ok,ok
kebanyakan update,banyak update
josss,josss
dulu aplikasi ini simple.. masuk tinggal sidik jari kelar... sekarang sidik jari malah gagal entah kenapa,aplikasi simple masuk tinggal sidik jari kelar sidik jari gagal
Semoga mybca saya segera buka,moga mybca buka
sangat puas,puas
aplikasi jelek 👎🏻👎🏻,aplikasi jelek
"ini ga jelas bangat di suruh update tp ko ga bisa"" masuk kenapa ya ko bisa kaya gitu masa mesti ke banknya langsung si?my BCA saya g bisa masuk"" padahal password nya udah bener gimana si ini",bangat suruh update tp ko masuk ko kaya gitu mesti bank langsung si bca masuk password bener gimana si
"udah di isi saldo nya kok gak masuk ya udah 2 hari,coba jelaskan",isi saldo masuk coba
"Aplikasinya lemot padahal jaringan bagus, apk mbanking lain aman aja, cuma MyBCA yg lemot",aplikasi jaring bagus apk mbanking aman mybca
bagus,bagus
maaf tapi kenapa setiap verifikasi muka pas mau buat rekening selalu stuck? padahal punya jaringan bagus,maaf verifikasi muka pas rekening stuck jaring bagus
terimakasih,terimakasih
buruk eror terus,buruk eror
kepada BCA tbk.coba tolong aplikasi nya dibikin bagus lagi lebih elegan,bca tbk coba tolong aplikasi bikin bagus elegan
sangat bagus aplikasinya,bagus aplikasi
proses daftar,proses daftar
verifikasi wajah aja error terus aplikasi banking anjinggg!,verifikasi wajah error aplikasi banking anjinggg
mantapppp,mantapppp
apk nya sering keluar sendiri,apk
"apk nya tidak membantu, sampai akun saya terblokir",apk tidak bantu akun blokir
my bca sangat buruk respon lama ngga rekomen banget,bca buruk respon ngga rekomen
Ok,ok
kenapa tidak ada pilihan untu negara Indonesia,tidak pilih untu negara indonesia
good,good
